seccion,proveedor_id,proveedor,total_repuestos,sin_descripcion,repuesto_mas_caro_id,repuesto_mas_caro_codigo,repuesto_mas_caro_precio,marca,promedio_precio_marca
marca,,,,,,,,HELLUX,77643.84
marca,,,,,,,,HESCHER (354),49092.64
marca,,,,,,,,HOSHI**(274),44973.45
marca,,,,,,,,HUTCHINSON (050)**,25878.46
marca,,,,,,,,Hescher,13523.5
marca,,,,,,,,IAEL **,20205.23
marca,,,,,,,,IMP**(528),35602.08
marca,,,,,,,,INDIEL (617),18874.68
marca,,,,,,,,INTERRUP,0.0
marca,,,,,,,,IRON KIT LED (434),85205.75
marca,,,,,,,,JAPSA,12917.12
marca,,,,,,,,JR,14843.49
marca,,,,,,,,KALEKIN (617),12383.88
marca,,,,,,,,KBF**(528),16727.24
marca,,,,,,,,KIT DE LED** (617),51632.92
marca,,,,,,,,KOBLA (504),68652.51
marca,,,,,,,,KOBO* (417),13223.41
marca,,,,,,,,KOSTAL,10739.62
marca,,,,,,,,KUBE*(417),7447.13
marca,,,,,,,,LCU REGULADORES (617,29821.33
marca,,,,,,,,LCU(617),42014.52
marca,,,,,,,,LEDS*(417),17879.24
